ID,Entidad,Categoria_Regulatoria,Subtipo_Negocio,Prioridad_Prospeccion,Dificultad_Acceso,Decisor_1_Cargo,Decisor_2_Cargo,Decisor_3_Cargo,Canal_Sugerido,Bounty_USD,Estatus
11,Avanza Sólido,SOFOM,Microfinanzas Rural/Urbano,Alta,Baja,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
12,Financiera Fortaleza,SOFOM,Crédito de Nómina,Alta,Media,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
13,Crédito Único,SOFOM,Préstamos Personales,Media,Baja,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
14,Credimon,SOFOM,Crédito y Liquidez,Media,Baja,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
15,Micro Credit,SOFOM,Microcréditos,Alta,Baja,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
16,Sofipaz,SOFOM,Crédito Popular,Media,Baja,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
17,Percapita,SOFOM,Financiamiento,Media,Baja,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
18,Pro Crédito,SOFOM,Crédito Pyme y Consumo,Media,Baja,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
19,Podemos Progresar,SOFOM,Crédito Grupal Mujeres,Alta,Media,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
20,Progressa,SOFIPO,Ahorro y Crédito Popular,Alta,Media,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
21,PREMO,SOFIPO,Crédito Pyme FinTech,Alta,Media,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
22,Broxel FinTech Crédito,SOFIPO,Medios de Pago y Crédito,Alta,Media,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
23,Stori Card,SOFIPO,Tarjetas de Crédito / Ahorro,Estratégica,Alta,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
24,Finamigo,SOFIPO,Microfinanzas,Alta,Baja,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
25,Financiera Libertad,SOFIPO,Servicios Financieros Masivos,Alta,Media,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
26,Kubo Financiero,SOFIPO,Crédito e Inversión Digital,Alta,Media,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
27,Fondeadora,SOFIPO,Neobanco / Cuenta Débito y Crédito,Estratégica,Media,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
28,Crediclub,SOFIPO,Ahorro y Microcréditos,Alta,Media,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
29,DiDi (DiDi Préstamos / Card),SOFIPO,FinTech Crédito al Consumo,Estratégica,Alta,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
30,Financiera Súmate,SOFIPO,Microcrédito Productivo,Alta,Media,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
31,Trafalgar,SOFIPO,FinTech / Wallets,Alta,Baja,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
32,Amextra Finanzas,SOFIPO,Microcréditos Solidarios,Media,Baja,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
33,Unagra,SOFIPO,Financiamiento Agropecuario,Media,Baja,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
34,Paso Seguro Creando Futuro,SOFIPO,Ahorro y Préstamo,Media,Baja,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
35,Credicapital,SOFIPO,Crédito Pyme e Inversión,Alta,Media,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
36,Fita Servicios Financieros,SOFIPO,Crédito Regional,Media,Baja,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
37,Bienestar Préstamo y Ahorro,SOFIPO,Caja Popular Regional,Media,Baja,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
38,ASP Integra Opciones,SOFIPO,Crédito y Arrendamiento,Alta,Baja,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
39,Finsocial México,SOFIPO,Crédito Social,Alta,Media,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
40,Ictineo,SOFIPO,FinTech / Cuentas de Ahorro,Alta,Baja,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
41,Fincomún,SOFIPO,Servicios Financieros Populares,Alta,Media,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
42,Creciendo México,SOFIPO,Microfinanzas,Media,Baja,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
43,Multiplica México,SOFIPO,Crédito Productivo,Alta,Baja,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
44,Real Financiera,SOFIPO,Crédito de Nómina y Pyme,Alta,Baja,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
45,Únete Financiera,SOFIPO,Préstamos Personales,Media,Baja,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
46,Capital Activo,SOFIPO,Financiamiento Empresarial,Media,Baja,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
47,Financiera Monte de Piedad,SOFIPO,Crédito Prendario y Personal,Alta,Media,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
48,Financiera Más,SOFIPO,Microcréditos,Alta,Baja,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
49,JP SofiExpress,SOFIPO,Crédito al Consumo,Media,Baja,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
50,RappiCard México,SOFIPO,Tarjeta de Crédito FinTech,Estratégica,Alta,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
51,FINN-APP México,SOFIPO,Crédito Digital App,Alta,Baja,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
52,Grensa,SOFIPO,Financiera Regional,Media,Baja,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
53,Finnix,SOFIPO,FinTech / Crédito Ágil,Alta,Baja,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
54,Coppel,Retail Credit,Crédito Departamental / BanCoppel,Estratégica,Alta,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
55,El Palacio de Hierro,Retail Credit,Tarjeta Departamental Luxury,Estratégica,Alta,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
56,Liverpool / Suburbia,Retail Credit,Tarjeta Liverpool / Suburbia,Estratégica,Alta,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
57,Grupo Calzapato,Retail Credit,Vales y Crédito Calzado,Alta,Media,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
58,Price Shoes,Retail Credit,Venta por Catálogo / Crédito,Alta,Media,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
59,Bodesa (Crédito el Bodegón),Retail Credit,Muebles y Línea Blanca a Crédito,Alta,Baja,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
60,La Marina,Retail Credit,Tiendas Departamentales Regionales,Alta,Baja,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
61,Grupo Sanborns - Sears,Retail Credit,Tarjeta Sears / Crédito Slim,Estratégica,Alta,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
62,Gran Chapur,Retail Credit,Tiendas Departamentales Yucatán,Alta,Baja,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
63,Grupo Elektra,Retail Credit,Banco Azteca / Abonos Semanales,Estratégica,Alta,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
64,Crediland,Retail Credit,Crédito en Muebles y Electrodomésticos,Alta,Baja,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
65,Falabella México - Soriana,Retail Credit,Tarjeta Falabella Soriana,Estratégica,Alta,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
66,Tiendas Quality,Retail Credit,Comercio y Crédito,Media,Baja,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
67,Tiendas Aguirre,Retail Credit,Mueblerías y Crédito Directo,Alta,Baja,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
68,Spin by Oxxo,Retail Credit,Wallet y Cuenta Digital Femsa,Estratégica,Alta,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
69,Muebles América,Retail Credit,Crédito Muebles / Préstamos,Alta,Media,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
70,Milano,Retail Credit,Ropa y Crédito Masivo,Alta,Media,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
71,Mueblería Elizondo,Retail Credit,Crédito Muebles y Línea Blanca,Alta,Baja,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
72,DPortenis,Retail Credit,Vales DP / Crédito Calzado,Alta,Baja,Director / Gerente de Cobranza y Recuperación,Director de Finanzas (CFO) / Tesorería,Director de Operaciones / Medios de Pago,LinkedIn InMail + Email Corporativo + WhatsApp,"$2,000 USD",Pendiente de Enriquecimiento
